SISRecID_BLVr9,HBWv8.1_Binomial,Order,UniqueID_Plastic.study,Source,Common.name_Plastic.study,Site,lat,lon,Age.Class,Date_Text,Date_FirstYR,Date_LastYR,Study.Duration,n,sqrtN,FO,logit.FO,Plastic,Date_MedianYR
22697954,Pterodroma_nigripennis,PROCELLARIIFORMES,103,Spear et al. 1995,Black-winged Petrel,tropical Pacific,-8.783195,-124.508523,Subadult/Adult,1984-1991,1984,1991,8,66,8.124038405,0.045454545,-3.029972889,Yes,1988
22698102,Halobaena_caerulea,PROCELLARIIFORMES,104,Ainley et al. 1990a,Blue Petrel,Scotia Sea,-57.534867,-43.486725,Subadult/Adult,1976-1988,1983,1988,6,45,6.708203932,0.44,-0.240821631,Yes,1986
22698102,Halobaena_caerulea,PROCELLARIIFORMES,105,Ainley et al. 1990a,Blue Petrel,Weddell Sea,-69.951182,-50.273438,Subadult/Adult,1976-1988,1986,1986,1,17,4.123105626,0.88,1.987408918,Yes,1986
22698102,Halobaena_caerulea,PROCELLARIIFORMES,106,Brown et al. 1986,Blue Petrel,"Victoria, Australia",NA,NA,Mixed,1984,1984,1984,1,NA,NA,NA,NA,Yes,1984
22698102,Halobaena_caerulea,PROCELLARIIFORMES,107,Day et al. 1984 (Imber pers comm),Blue Petrel,New Zealand,-40.900557,174.885971,Mixed,NA,NA,NA,NA,NA,NA,0.2,-1.383675089,Yes,#NUM!
22698102,Halobaena_caerulea,PROCELLARIIFORMES,108,Reed 1981,Blue Petrel,New Zealand,-40.900557,174.885971,Subadult/Adult,1981,1981,1981,1,27,5.196152423,1,7.265129978,Yes,1981
22698102,Halobaena_caerulea,PROCELLARIIFORMES,109,Ryan 1987,Blue Petrel,South Africa,-30.559482,22.937506,Mixed,1979-1985,1979,1985,7,74,8.602325267,0.918918919,2.419913433,Yes,1982
22727746,Anous_ceruleus,CHARADRIIFORMES,110,Harrison et al. 1983,Blue-grey Noddy,Hawaii,19.896766,-155.582782,Mixed,1979-1982,1979,1982,4,111,10.53565375,0,-7.265129978,No,1981
22727746,Anous_ceruleus,CHARADRIIFORMES,111,Spear et al. 1995,Blue-grey Noddy,tropical Pacific,-8.783195,-124.508523,Subadult/Adult,1984-1991,1984,1991,8,3,1.732050808,0,-7.265129978,No,1988
22694432,Larus_philadelphia,CHARADRIIFORMES,112,Day et al. 1984/Day 1980,Bonaparte's Gull,Alaska,64.200841,-149.493673,Mixed,1969-1977,1969,1977,9,4,2,0,-7.265129978,No,1973
