Order,Family,Subfamily,Tribe,Common_name,Binomial,Genus,IUCN_2023,Synonyms
SULIFORMES,Fregatidae,NA,NA,Magnificent Frigatebird,Fregata magnificens,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Ascension Frigatebird,Fregata aquila,Fregata,VU,NA
SULIFORMES,Sulidae,NA,NA,Abbott's Booby,Papasula abbotti,Papasula,EN,NA
SULIFORMES,Sulidae,NA,NA,Northern Gannet,Morus bassanus,Morus,LC,Sula bassana
SULIFORMES,Sulidae,NA,NA,Cape Gannet,Morus capensis,Morus,EN,NA
SULIFORMES,Sulidae,NA,NA,Australasian Gannet,Morus serrator,Morus,LC,Sula serrator
SULIFORMES,Sulidae,NA,NA,Red-footed Booby,Sula sula,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Brown Booby,Sula leucogaster,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Blue-footed Booby,Sula nebouxii,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Peruvian Booby,Sula variegata,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Masked Booby,Sula dactylatra,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Nazca Booby,Sula granti,Sula,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Crowned Cormorant,Microcarbo coronatus,Microcarbo,LC,Phalacrocorax coronatus
SULIFORMES,Phalacrocoracidae,NA,NA,Long-tailed Cormorant,Microcarbo africanus,Microcarbo,LC,Phalacrocorax africanus
SULIFORMES,Phalacrocoracidae,NA,NA,Pygmy Cormorant,Microcarbo pygmaeus,Microcarbo,LC,Phalacrocorax pygmaeus; Halietor pygmeus
SULIFORMES,Phalacrocoracidae,NA,NA,Little Cormorant,Microcarbo niger,Microcarbo,LC,Phalacrocorax niger
SULIFORMES,Phalacrocoracidae,NA,NA,Little Pied Cormorant,Microcarbo melanoleucos,Microcarbo,LC,Microcarbo melanoleucos; Phalacrocorax melanoleucos
