HBWv8.1_Order,HBWv8.1_Family,HBWv8.1_Subfamily,HBWv8.1_Tribe,HBWv8.1_Common_name,HBWv8.1_Binomial,HBWv8.1_Genus,IUCN_2023,HBWv8.1_Synonyms
PROCELLARIIFORMES,Procellariidae,NA,NA,Audubon's Shearwater,Puffinus_lherminieri,Puffinus,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Heinroth's Shearwater,Puffinus_heinrothi,Puffinus,VU,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Fiji Petrel,Pseudobulweria_macgillivrayi,Pseudobulweria,CR,Thalassidroma macgillivrayi
PROCELLARIIFORMES,Procellariidae,NA,NA,Mascarene Petrel,Pseudobulweria_aterrima,Pseudobulweria,CR,Procellaria aterrima
PROCELLARIIFORMES,Procellariidae,NA,NA,Beck's Petrel,Pseudobulweria_becki,Pseudobulweria,CR,Procellaria becki
PROCELLARIIFORMES,Procellariidae,NA,NA,Tahiti Petrel,Pseudobulweria_rostrata,Pseudobulweria,NT,Pterodroma rostrata
PROCELLARIIFORMES,Procellariidae,NA,NA,Bulwer's Petrel,Bulweria_bulwerii,Bulweria,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Jouanin's Petrel,Bulweria_fallax,Bulweria,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Small Saint Helena Petrel,Bulweria_bifax,Bulweria,EX,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Peruvian Diving-petrel,Pelecanoides_garnotii,Pelecanoides,NT,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Magellanic Diving-petrel,Pelecanoides_magellani,Pelecanoides,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,South Georgia Diving-petrel,Pelecanoides_georgicus,Pelecanoides,LC,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,Common Diving-petrel,Pelecanoides_urinatrix,Pelecanoides,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Dalmatian Pelican,Pelecanus_crispus,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,Spot-billed Pelican,Pelecanus_philippensis,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,Pink-backed Pelican,Pelecanus_rufescens,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Australian Pelican,Pelecanus_conspicillatus,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Great White Pelican,Pelecanus_onocrotalus,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Brown Pelican,Pelecanus_occidentalis,Pelecanus,LC,NA
PELECANIFORMES,Pelecanidae,NA,NA,Peruvian Pelican,Pelecanus_thagus,Pelecanus,NT,NA
PELECANIFORMES,Pelecanidae,NA,NA,American White Pelican,Pelecanus_erythrorhynchos,Pelecanus,LC,NA
SULIFORMES,Fregatidae,NA,NA,Lesser Frigatebird,Fregata_ariel,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Great Frigatebird,Fregata_minor,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Christmas Island Frigatebird,Fregata_andrewsi,Fregata,VU,NA
SULIFORMES,Fregatidae,NA,NA,Magnificent Frigatebird,Fregata_magnificens,Fregata,LC,NA
SULIFORMES,Fregatidae,NA,NA,Ascension Frigatebird,Fregata_aquila,Fregata,VU,NA
SULIFORMES,Sulidae,NA,NA,Abbott's Booby,Papasula_abbotti,Papasula,EN,NA
SULIFORMES,Sulidae,NA,NA,Northern Gannet,Morus_bassanus,Morus,LC,Sula bassana
SULIFORMES,Sulidae,NA,NA,Cape Gannet,Morus_capensis,Morus,EN,NA
SULIFORMES,Sulidae,NA,NA,Australasian Gannet,Morus_serrator,Morus,LC,Sula serrator
SULIFORMES,Sulidae,NA,NA,Red-footed Booby,Sula_sula,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Brown Booby,Sula_leucogaster,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Blue-footed Booby,Sula_nebouxii,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Peruvian Booby,Sula_variegata,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Masked Booby,Sula_dactylatra,Sula,LC,NA
SULIFORMES,Sulidae,NA,NA,Nazca Booby,Sula_granti,Sula,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Crowned Cormorant,Microcarbo_coronatus,Microcarbo,LC,Phalacrocorax coronatus
